Date,Model,MAE,RMSE
2025-08-05_16-00-08,Prophet,52.94698961,67.93176633
2025-08-07_12-30-10,Prophet,50.52397565,87.16450766
2025-08-07_12-35-41,Prophet,126.3492607,151.0205975
2025-08-07_12-41-48,Prophet,126.3492607,151.0205975
2025-08-07_14-09-00,Prophet,125.9301696,154.2605565
2025-08-07_14-18-32,Prophet,125.9301696,154.2605565
2025-08-07_14-55-16,Prophet,125.93016958961296,154.26055647801977
2025-08-07_14-56-52,Prophet,125.93016958961296,154.26055647801977
2025-08-07_15-14-40,Prophet,125.93016958961296,154.26055647801977
2025-08-07_15-15-25,Prophet,125.93016958961296,154.26055647801977
2025-08-07_15-17-16,Prophet,125.93016958961296,154.26055647801977
2025-08-07_15-25-09,Prophet,41.85537501436953,52.82790573202004
2025-08-07_15-52-41,Prophet,41.85537501436953,52.82790573202004
2025-08-07_15-59-46,Prophet,41.85537501436953,52.82790573202004
2025-08-07_16-05-13,Prophet,41.85537501436953,52.82790573202004
2025-08-07_16-06-42,Prophet,41.85537501436953,52.82790573202004
2025-08-07_16-12-52,Prophet,41.85537501436953,52.82790573202004
