Date,Model,MAE,RMSE,
2025-08-07_17-36-23,Prophet,41.85537501,52.82790573,
2025-08-07_18-09-15,Prophet,41.85537501,52.82790573,
2025-08-18_10-44-22,Prophet,41.85537501,52.82790573,
2025-08-18_11-28-25,Prophet,41.85537501,52.82790573,
2025-08-18_11-39-09,Prophet,41.85537501,52.82790573,
2025-08-18_11-40-45,Prophet,41.85537501,52.82790573,
2025-09-02_12-12-20,Prophet,41.85537501,52.82790573,
2025-09-02_12-26-11,Prophet,41.85537501,52.82790573,
2025-09-02_12-40-40,Prophet,38.07276079,48.75799029,
2025-09-02_15-33-03,Prophet,0.000249416,0.000267697,
2025-09-02_15-36-47,Prophet,29.16338255,36.92902809,
2025-09-02_16-08-49,Prophet,33.48715779,41.05580772,
2025-09-02_16-25-30,Prophet,36.30441072,47.35003194,
2025-09-02_16-42-54,Prophet,36.30441072,47.35003194,
2025-09-04_10-09-53,Prophet,40.52554624,51.03588331,
2025-09-04_10-16-22,Prophet,40.52554624,51.03588331,
2025-09-04_10-30-22,Prophet,40.52554624,51.03588331,
2025-09-04_10-38-54,Prophet,40.52554624,51.03588331,
2025-09-04_10-42-00,Prophet,9.49E-05,0.000132454,
2025-09-04_10-46-14,Prophet,31.62089625,38.70352762,
2025-09-04_11-32-50,Prophet,31.62089625,38.70352762,
2025-09-04_11-35-01,Prophet,31.2452943,38.41830222,
2025-09-04_14-13-20,Prophet,57.96430148,75.37397886,
2025-09-09_16-39-13,Prophet,31.2452943,38.41830222,
2025-11-04_14-38-56,Prophet,33.1478079,41.92613108,
2025-11-04_14-54-38,Prophet,1.73E-06,2.29E-06,
2025-11-04_14-59-13,Prophet,33.1478079,41.92613108,
2025-11-04_15-05-00,Prophet,33.1478079,41.92613108,
2025-11-04_15-20-00,Prophet,31.99646057,39.96163305,
2025-12-02_15-46-54,Prophet,33.36573596,42.21595801,
2025-12-03_14-40-17,Prophet,33.365782,42.21595931,
2025-12-03_14-45-10,Prophet,33.365782,42.21595931,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2020-04-01,24.94863761135048,-29.226459917889557,80.2655491282165
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2020-05-01,28.393929865152366,-25.657306676366225,82.19689777407399
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2020-06-01,40.89558535038631,-12.413034716081734,94.34423291660062
2025-12-09_12-36-08,Prophet_Gujarat,33.36578200272991,42.21595931328146,2020-07-01,63.47364036898258,6.466797613296694,120.84696064198758
