2025-08-05 10:07:21 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 10:12:31 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 10:20:52 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 10:23:32 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 10:29:54 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 10:36:14 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 10:36:18 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 10:36:18 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 10:36:19 | Prophet-Model-Training | ERROR | An error occurred during model training: Dataframe has less than 2 non-NaN rows.
Traceback (most recent call last):
  File "z:\Supply-Chain_management(SCM)\Source\Models\train_prophet.py", line 53, in train_model_prophet
    model.fit(train)
    ~~~~~~~~~^^^^^^^
  File "C:\Users\MU_ICT_025\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\prophet\forecaster.py", line 1220, in fit
    model_inputs = self.preprocess(df, **kwargs)
  File "C:\Users\MU_ICT_025\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\LocalCache\local-packages\Python313\site-packages\prophet\forecaster.py", line 1135, in preprocess
    raise ValueError('Dataframe has less than 2 non-NaN rows.')
ValueError: Dataframe has less than 2 non-NaN rows.
2025-08-05 11:31:05 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:35:36 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:39:27 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:41:27 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:45:49 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:48:09 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:50:17 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:53:57 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 11:59:53 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 12:02:17 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 12:05:35 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 12:13:03 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 12:15:13 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 12:18:13 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 12:18:19 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 12:18:19 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 12:18:21 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 12:18:21 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 12:18:21 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 12:18:21 | Prophet-Model-Training | INFO | Saving Model......
2025-08-05 12:18:21 | Prophet-Model-Training | INFO | Model Saved
2025-08-05 12:22:06 | Prophet-Model-Training | INFO | Loading DataSet....
2025-08-05 12:22:11 | Prophet-Model-Training | INFO | Preparing Data for Prophet....
2025-08-05 12:22:11 | Prophet-Model-Training | INFO | Fitting Data to the Model......
2025-08-05 12:22:12 | Prophet-Model-Training | INFO | Model Training Complete

2025-08-05 12:22:12 | Prophet-Model-Training | INFO | Model Evalution .........
2025-08-05 12:22:12 | Prophet-Model-Training | INFO | Model Forecasting Complete

2025-08-05 12:22:12 | Prophet-Model-Training | INFO | Saving Model......
