2026-01-05 11:13:18 | Prophet_Gujarat | INFO | Preparing Data for Prophet (Gujarat)....
2026-01-05 11:13:18 | Prophet_Gujarat | INFO | Fitting Data to the Model......
2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Model Training Complete

2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Forecasting test and Future Data .........
2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Model Forecasting Complete

2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Calculating MAE, RMSE and Accuracy for Test....
2026-01-05 11:13:19 | Prophet_Gujarat | INFO | MAE, RMSE and Accuracy calculated

2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Value of MAE for Prophet is 42.81
2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Value of RMSE for Prophet is 58.01
2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Value of R2 Score (Accuracy) for Prophet is 0.84
2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Saving Model......
2026-01-05 11:13:19 | Prophet_Gujarat | INFO | Model Saved
2026-01-05 11:13:20 | Prophet_Gujarat | INFO | Creating Report for Prophet Model.....
2026-01-05 11:13:20 | Prophet_Gujarat | INFO | Model Report Genearated

2026-01-05 11:13:20 | Prophet_Gujarat | INFO | Saving Forecast Data to CSV File......
