2025-08-05 12:18:21 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 12:18:21 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 12:18:21 | evalution-logger | INFO | Value of MAE for Prophet is 20.36
2025-08-05 12:18:21 | evalution-logger | INFO | Value of RMSE for Prophet is 26.05
2025-08-05 12:18:21 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 12:18:21 | evalution-logger | INFO | Model Report Genearated

2025-08-05 12:22:12 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 12:22:12 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 12:22:12 | evalution-logger | INFO | Value of MAE for Prophet is 20.36
2025-08-05 12:22:12 | evalution-logger | INFO | Value of RMSE for Prophet is 26.05
2025-08-05 12:22:12 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 12:22:12 | evalution-logger | INFO | Model Report Genearated

2025-08-05 12:39:33 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 12:39:33 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 12:39:33 | evalution-logger | INFO | Value of MAE for Prophet is 20.36
2025-08-05 12:39:33 | evalution-logger | INFO | Value of RMSE for Prophet is 26.05
2025-08-05 12:39:33 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 12:39:33 | evalution-logger | INFO | Model Report Genearated

2025-08-05 12:41:38 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 12:41:38 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 12:41:38 | evalution-logger | INFO | Value of MAE for Prophet is 20.36
2025-08-05 12:41:38 | evalution-logger | INFO | Value of RMSE for Prophet is 26.05
2025-08-05 12:41:38 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 12:41:38 | evalution-logger | INFO | Model Report Genearated

2025-08-05 12:46:43 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 12:46:43 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 12:46:43 | evalution-logger | INFO | Value of MAE for Prophet is 20.36
2025-08-05 12:46:43 | evalution-logger | INFO | Value of RMSE for Prophet is 26.05
2025-08-05 12:46:43 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 12:46:43 | evalution-logger | INFO | Model Report Genearated

2025-08-05 12:54:52 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 12:54:52 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 12:54:52 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 12:54:52 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 12:54:52 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 12:54:52 | evalution-logger | INFO | Model Report Genearated

2025-08-05 12:55:45 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 12:55:45 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 12:55:45 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 12:55:45 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 12:55:45 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 12:55:45 | evalution-logger | INFO | Model Report Genearated

2025-08-05 14:19:22 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 14:19:22 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 14:19:22 | evalution-logger | INFO | Value of MAE for Prophet is 124.44
2025-08-05 14:19:22 | evalution-logger | INFO | Value of RMSE for Prophet is 160.02
2025-08-05 14:19:22 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 14:19:22 | evalution-logger | INFO | Model Report Genearated

2025-08-05 14:21:49 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 14:21:49 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 14:21:50 | evalution-logger | INFO | Value of MAE for Prophet is 124.44
2025-08-05 14:21:50 | evalution-logger | INFO | Value of RMSE for Prophet is 160.02
2025-08-05 14:21:50 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 14:21:50 | evalution-logger | INFO | Model Report Genearated

2025-08-05 14:33:15 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 14:33:15 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 14:33:15 | evalution-logger | INFO | Value of MAE for Prophet is 124.44
2025-08-05 14:33:15 | evalution-logger | INFO | Value of RMSE for Prophet is 160.02
2025-08-05 14:33:15 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 14:33:16 | evalution-logger | INFO | Model Report Genearated

2025-08-05 14:36:08 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 14:36:08 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 14:36:08 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 14:36:09 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 14:36:09 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 14:36:09 | evalution-logger | INFO | Model Report Genearated

2025-08-05 14:36:35 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 14:36:35 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 14:36:35 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 14:36:35 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 14:36:35 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 14:36:35 | evalution-logger | INFO | Model Report Genearated

2025-08-05 14:44:19 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 14:44:19 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 14:44:19 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 14:44:19 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 14:44:19 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 14:44:19 | evalution-logger | INFO | Model Report Genearated

2025-08-05 15:12:15 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 15:12:15 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 15:12:15 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 15:12:15 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 15:12:15 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 15:12:15 | evalution-logger | INFO | Model Report Genearated

2025-08-05 16:00:08 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:00:08 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:00:08 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 16:00:08 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 16:00:08 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 16:00:08 | evalution-logger | INFO | Model Report Genearated

2025-08-05 16:18:24 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:18:25 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:18:25 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
2025-08-05 16:18:25 | evalution-logger | INFO | Value of RMSE for Prophet is 67.93
2025-08-05 16:18:25 | evalution-logger | INFO | Creating Report of Model.....
2025-08-05 16:22:43 | evalution-logger | INFO | Calculating MAE and RMSE....
2025-08-05 16:22:43 | evalution-logger | INFO | MAE and RMSE calculated

2025-08-05 16:22:43 | evalution-logger | INFO | Value of MAE for Prophet is 52.95
